#            r                  2P                  2S                  1S
      0.001596790712      0.000016008902      0.009884396072      0.043808609847
      0.001609616271      0.000016266476      0.009963016742      0.044157070145
      0.001622544847      0.000016528190      0.010042256508      0.044508274521
      0.001635577266      0.000016794109      0.010122120142      0.044862244138
      0.001648714362      0.000017064300      0.010202612455      0.045219000315
      0.001661956977      0.000017338834      0.010283738291      0.045578564531
      0.001675305957      0.000017617778      0.010365502531      0.045940958419
      0.001688762158      0.000017901204      0.010447910089      0.046306203774
      0.001702326440      0.000018189184      0.010530965919      0.046674322549
      0.001715999672      0.000018481791      0.010614675009      0.047045336861
      0.001729782728      0.000018779099      0.010699042385      0.047419268986
      0.001743676491      0.000019081182      0.010784073107      0.047796141366
      0.001757681849      0.000019388119      0.010869772276      0.048175976606
      0.001771799700      0.000019699987      0.010956145027      0.048558797477
      0.001786030947      0.000020016864      0.011043196534      0.048944626916
      0.001800376500      0.000020338831      0.011130932009      0.049333488029
      0.001814837278      0.000020665970      0.011219356702      0.049725404088
      0.001829414206      0.000020998363      0.011308475900      0.050120398537
      0.001844108218      0.000021336095      0.011398294930      0.050518494991
      0.001858920252      0.000021679251      0.011488819157      0.050919717236
      0.001873851259      0.000022027919      0.011580053985      0.051324089231
      0.001888902192      0.000022382186      0.011672004858      0.051731635110
      0.001904074016      0.000022742143      0.011764677259      0.052142379181
      0.001919367702      0.000023107879      0.011858076710      0.052556345931
      0.001934784227      0.000023479489      0.011952208774      0.052973560021
      0.001950324580      0.000023857066      0.012047079055      0.053394046293
      0.001965989753      0.000024240706      0.012142693195      0.053817829768
      0.001981780751      0.000024630506      0.012239056879      0.054244935649
      0.001997698584      0.000025026564      0.012336175833      0.054675389320
      0.002013744269      0.000025428982      0.012434055822      0.055109216347
      0.002029918836      0.000025837859      0.012532702656      0.055546442483
      0.002046223317      0.000026253302      0.012632122184      0.055987093665
      0.002062658758      0.000026675413      0.012732320298      0.056431196017
      0.002079226209      0.000027104300      0.012833302932      0.056878775850
      0.002095926732      0.000027540073      0.012935076063      0.057329859665
      0.002112761395      0.000027982840      0.013037645711      0.057784474152
      0.002129731275      0.000028432714      0.013141017939      0.058242646194
      0.002146837459      0.000028889808      0.013245198853      0.058704402865
      0.002164081041      0.000029354239      0.013350194603      0.059169771432
      0.002181463125      0.000029826124      0.013456011383      0.059638779359
      0.002198984823      0.000030305582      0.013562655429      0.060111454305
      0.002216647257      0.000030792734      0.013670133026      0.060587824126
      0.002234451557      0.000031287703      0.013778450499      0.061067916875
      0.002252398863      0.000031790615      0.013887614221      0.061551760807
      0.002270490324      0.000032301597      0.013997630608      0.062039384377
      0.002288727096      0.000032820778      0.014108506124      0.062530816241
      0.002307110348      0.000033348289      0.014220247277      0.063026085260
      0.002325641255      0.000033884263      0.014332860621      0.063525220497
